1,2948,ALEJANDRO,FERNÁNDEZ RIVERA,M-0,SENIOR MASCULINA-0,00:29:32,
2,3461,MANUEL ANGEL,PENAS BLANCO,M-0,VETERANOS A MASC (M35)-0,00:29:33,
3,4548,MIGUEL,RIBEIRO,M-0,SENIOR MASCULINA-0,00:30:32,
4,2947,MANUEL,HURTADO SANJURJO,M-0,SENIOR MASCULINA-0,00:30:49,
5,456,CARLOS,VILLAMOR CASTIÑEIRA,M-0,SENIOR MASCULINA-0,00:30:57,
6,3043,RUBEN,DIZ DIAZ,M-0,SENIOR MASCULINA-0,00:31:01,
7,4324,IVAN,CANOVAS FERNANDEZ,M-0,SENIOR MASCULINA-0,00:31:31,
8,2940,VICTOR,RIOBO VILLANUEVA,M-0,SENIOR MASCULINA-0,00:31:43,
9,3007,IVAN,DOCAMPO GONZALEZ,M-0,SENIOR MASCULINA-0,00:31:45,
10,285,RUBEN,CAAMAÑO NIETO,M-0,SENIOR MASCULINA-0,00:31:52,
11,2924,NICOLÁS,ARROJO FERNÁNDEZ,M-0,SENIOR MASCULINA-0,00:32:08,
12,1116,JOSÉ CARLOS,ADÁN ARIAS,M-0,VETERANOS C MASC (M45)-0,00:32:11,
13,526,JUAN,PENA HOLGUIN,M-0,SENIOR MASCULINA-0,00:32:13,
14,3041,JAVIER,PAREDES GONZALEZ,M-0,SENIOR MASCULINA-0,00:32:24,
15,4326,JUAN ANTONIO,POUSA FÍRVIDA,M-0,SENIOR MASCULINA-0,00:32:25,
16,2523,SANTIAGO,LOPEZ RODRIGUEZ,M-0,VETERANOS C MASC (M45)-0,00:32:26,
17,2351,JOSE MANUEL,FERNANDEZ MARQUEZ,M-0,VETERANOS C MASC (M45)-0,00:32:50,
18,3038,RAMON,SERANTES GOMEZ,M-0,VETERANOS C MASC (M45)-0,00:32:55,
19,4030,ABDELAZIZ,FATIHI,M-0,PROMESA MASCULINA-0,00:33:15,
20,2617,VÍCTOR XOSÉ,GONZÁLEZ HORTA,M-0,SENIOR MASCULINA-0,00:33:21,
21,2457,ISMAEL,BOUZAS REY,M-0,SENIOR MASCULINA-0,00:33:26,
22,448,JUAN ANTONIO,GUDE VILA,M-0,VETERANOS A MASC (M35)-0,00:33:28,
23,840,YOUSSEF,KOUAOU,M-0,JUNIOR MASCULINA-0,00:33:29,
24,2031,ADRIÁN,MORENO RAMIL,M-0,SENIOR MASCULINA-0,00:33:29,
25,2621,CRISTIAN,DIAZ LORENZO,M-0,VETERANOS A MASC (M35)-0,00:33:41,
26,1015,FRANCISCO JOSÉ,DURÁN ACUÑA,M-0,PROMESA MASCULINA-0,00:33:43,
27,2507,LUIS,IGLESIAS RAÑA,M-0,SENIOR MASCULINA-0,00:33:45,
28,2541,SAMUEL,VEIGA IGLESIAS,M-0,VETERANOS C MASC (M45)-0,00:33:47,
29,2440,EMILIO,MONTILLA FERNANDEZ,M-0,VETERANOS B MASC (M40)-0,00:33:48,
30,2193,JOSE CARLOS,FERREIRA GONZALEZ,M-0,VETERANOS A MASC (M35)-0,00:33:49,
